,trade_date,total_mv,pe
509,20190904,6132.530000,88.19
510,20190903,6242.570000,89.77
511,20190902,5846.740000,84.08
512,20190830,5780.270000,83.12
513,20190829,5804.990000,83.48
514,20190828,5840.080000,83.98
515,20190827,6001.290000,86.30
516,20190826,5944.010000,85.48
517,20190823,5863.890000,84.33
518,20190822,6203.890000,89.22
519,20190821,6275.490000,90.25
520,20190820,6732.510000,96.82
521,20190819,6809.010000,97.92
522,20190816,6831.680000,98.24
523,20190815,6901.990000,99.26
524,20190814,6859.280000,98.64
525,20190813,6746.800000,97.02
526,20190812,6660.730000,95.79
527,20190809,6508.550000,94.02
528,20190808,6723.930000,97.13
529,20190807,6223.390000,95.73
530,20190806,6098.920000,93.82
531,20190805,6689.000000,102.90
532,20190802,6359.440000,97.83
533,20190801,5942.320000,91.41
534,20190731,5606.980000,86.25
535,20190730,5462.050000,84.02
536,20190729,5342.050000,82.18
537,20190726,5000.560000,76.92
538,20190725,5373.120000,82.65
539,20190724,5135.780000,79.00
540,20190723,4821.950000,74.18
541,20190722,5293.390000,81.43
